date,PortfolioValue,Capital,Shares
2026-02-25 15:15:00,99865.765625,71252.921875,0.42695000767707825
2026-02-25 15:30:00,100042.9453125,71252.921875,0.42695000767707825
2026-02-25 15:45:00,99975.3515625,71252.921875,0.42695000767707825
2026-02-25 16:00:00,100147.8515625,71252.921875,0.42695000767707825
2026-02-25 16:15:00,100278.6796875,71252.921875,0.42695000767707825
2026-02-25 16:30:00,100277.921875,71252.921875,0.42695000767707825
2026-02-25 16:45:00,100413.1328125,71252.921875,0.42695000767707825
2026-02-25 17:00:00,100511.296875,71252.921875,0.42695000767707825
2026-02-25 17:15:00,100542.6171875,71252.921875,0.42695000767707825
2026-02-25 17:30:00,100606.0078125,71252.921875,0.42695000767707825
2026-02-25 17:45:00,100552.96875,71252.921875,0.42695000767707825
2026-02-25 18:00:00,100664.890625,71252.921875,0.42695000767707825
2026-02-25 18:15:00,100745.5234375,69896.7421875,0.4456700086593628
2026-02-25 18:30:00,100863.6171875,69896.7421875,0.4456700086593628
2026-02-25 18:45:00,100814.4921875,69896.7421875,0.4456700086593628
2026-02-25 19:00:00,100588.484375,69896.7421875,0.4456700086593628
2026-02-25 19:15:00,100659.1328125,69896.7421875,0.4456700086593628
2026-02-25 19:30:00,100607.3984375,69896.7421875,0.4456700086593628
2026-02-25 19:45:00,100679.515625,69896.7421875,0.4456700086593628
2026-02-25 20:00:00,100509.015625,69896.7421875,0.4456700086593628
2026-02-25 20:15:00,100576.8125,69896.7421875,0.4456700086593628
2026-02-25 20:30:00,100715.71875,69896.7421875,0.4456700086593628
2026-02-25 20:45:00,100746.0,69896.7421875,0.4456700086593628
2026-02-25 21:00:00,100692.171875,69896.7421875,0.4456700086593628
2026-02-25 21:15:00,100627.359375,69896.7421875,0.4456700086593628
2026-02-25 21:30:00,100733.8359375,69896.7421875,0.4456700086593628
2026-02-25 21:45:00,100596.1484375,69896.7421875,0.4456700086593628
2026-02-25 22:00:00,100702.34375,69896.7421875,0.4456700086593628
2026-02-25 22:15:00,100614.4609375,69896.7421875,0.4456700086593628
2026-02-25 22:30:00,100427.6953125,69896.7421875,0.4456700086593628
2026-02-25 22:45:00,100338.203125,69896.7421875,0.4456700086593628
2026-02-25 23:00:00,100443.609375,69896.7421875,0.4456700086593628
2026-02-25 23:15:00,100352.5,69896.7421875,0.4456700086593628
2026-02-25 23:30:00,100005.734375,75924.9609375,0.35580000281333923
2026-02-25 23:45:00,100109.625,75924.9609375,0.35580000281333923
2026-02-26 00:00:00,100166.265625,75924.9609375,0.35580000281333923
2026-02-26 00:15:00,100240.3125,75924.9609375,0.35580000281333923
2026-02-26 00:30:00,100200.515625,75924.9609375,0.35580000281333923
2026-02-26 00:45:00,100238.9375,75924.9609375,0.35580000281333923
2026-02-26 01:00:00,100314.15625,75924.9609375,0.35580000281333923
2026-02-26 01:15:00,100275.2421875,75924.9609375,0.35580000281333923
2026-02-26 01:30:00,100272.8046875,100272.8046875,0.0
2026-02-26 01:45:00,100272.8046875,100272.8046875,0.0
2026-02-26 02:00:00,100254.453125,81903.2265625,0.27052000164985657
2026-02-26 02:15:00,100290.203125,81903.2265625,0.27052000164985657
2026-02-26 02:30:00,100317.1328125,81903.2265625,0.27052000164985657
2026-02-26 02:45:00,100373.921875,81903.2265625,0.27052000164985657
2026-02-26 03:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 03:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 03:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 03:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 04:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 04:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 04:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 04:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 05:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 05:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 05:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 05:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 06:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 06:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 06:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 06:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 07:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 07:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 07:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 07:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 08:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 08:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 08:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 08:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 09:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 09:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 09:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 09:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 10:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 10:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 10:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 10:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 11:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 11:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 11:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 11:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 12:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 12:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 12:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 12:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 13:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 13:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 13:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 13:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 14:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 14:15:00,100308.5703125,100308.5703125,0.0
2026-02-26 14:30:00,100308.5703125,100308.5703125,0.0
2026-02-26 14:45:00,100308.5703125,100308.5703125,0.0
2026-02-26 15:00:00,100308.5703125,100308.5703125,0.0
2026-02-26 15:15:00,100293.40625,85125.7421875,0.22678999602794647
2026-02-26 15:30:00,100417.4453125,85125.7421875,0.22678999602794647
2026-02-26 15:45:00,100413.75,85125.7421875,0.22678999602794647
2026-02-26 16:00:00,100345.9453125,85125.7421875,0.22678999602794647
2026-02-26 16:15:00,100437.359375,85125.7421875,0.22678999602794647
2026-02-26 16:30:00,100341.7109375,85125.7421875,0.22678999602794647
2026-02-26 16:45:00,100229.15625,85125.7421875,0.22678999602794647
2026-02-26 17:00:00,100304.6953125,85125.7421875,0.22678999602794647
2026-02-26 17:15:00,100305.8828125,85125.7421875,0.22678999602794647
2026-02-26 17:30:00,100266.6953125,85125.7421875,0.22678999602794647
2026-02-26 17:45:00,100281.3515625,85125.7421875,0.22678999602794647
2026-02-26 18:00:00,100251.59375,85125.7421875,0.22678999602794647
2026-02-26 18:15:00,100282.234375,85125.7421875,0.22678999602794647
2026-02-26 18:30:00,100378.8671875,85125.7421875,0.22678999602794647
